L2101   Kopeck      Копейка
L2102   Barn        Сарай
L2104   Quad        Четвёрка
L2106   Shah        Шаха
L2107   Brick       Кирпич
L2108   Chisel      Зубило
L2110   Tenner      Чирик
L2111   Capboard    Шкаф
L2112   Matryoshka  Матрёшка
L2113   Gangster    Бандитка
L2121   Niva        Нива
G22     Gas         Газ
G3102   Volga       Волга
DN1S    Xsenia      Ксюша
DN2D    Xsenia II   Ксюша II
RLS     Nagan       Наган
RLV     Iron        Утюжок
SLS     Latch       Лача
SLU     Lasy        Лася

